"","Query","Hit type","PSSM-ID","From","To","E-Value","Bitscore","Accession","Short name","Incomplete","Superfamily","Definition"
"145","Q#137 - >gb|KAI8116404.1|[Sodium/hydrogen exchanger 9B2 [Lucilia cuprina]]","superfamily",223104,44,436,4.58062e-24,104.3,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"146","Q#137 - >gb|KAI8116404.1|[Sodium/hydrogen exchanger 9B2 [Lucilia cuprina]]","superfamily",225802,44,295,2.32393e-06,50.094,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"147","Q#138 - >emb|CAH1388393.1|[unnamed protein product [Nezara viridula]]","superfamily",223104,114,508,2.74341e-25,108.537,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"148","Q#139 - >emb|CAH1388386.1|[unnamed protein product [Nezara viridula]]","superfamily",223104,99,493,1.15593e-19,91.2035,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"149","Q#140 - >emb|CAH1388389.1|[unnamed protein product [Nezara viridula]]","superfamily",223104,120,463,4.07438e-18,86.1959,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"150","Q#141 - >emb|CAH1388388.1|[unnamed protein product [Nezara viridula]]","superfamily",223104,139,482,1.42179e-18,87.7367,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"151","Q#142 - >emb|CAH1388387.1|[unnamed protein product [Nezara viridula]]","superfamily",223104,136,448,2.41984e-10,61.9283,"cl42993","NhaP superfamily","N"," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"152","Q#143 - >emb|CAH1388367.1|[unnamed protein product [Nezara viridula]]","superfamily",223104,157,549,1.15685e-14,76.1807,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"153","Q#147 - >emb|CAD6994394.1|[unnamed protein product, partial [Ceratitis capitata]]","superfamily",223104,45,442,4.32777e-18,86.5811,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"154","Q#147 - >emb|CAD6994394.1|[unnamed protein product, partial [Ceratitis capitata]]","superfamily",225802,57,278,1.75983e-05,47.3976,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"155","Q#148 - >gb|PZC78838.1|[hypothetical protein B5X24_HaOG217164 [Helicoverpa armigera]]","superfamily",223104,111,472,5.31155e-07,51.9131,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"156","Q#149 - >gb|PZC78839.1|[hypothetical protein B5X24_HaOG217165 [Helicoverpa armigera]]","superfamily",223104,82,413,2.32519e-10,62.6987,"cl42993","NhaP superfamily","C"," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"157","Q#149 - >gb|PZC78839.1|[hypothetical protein B5X24_HaOG217165 [Helicoverpa armigera]]","superfamily",225802,152,329,0.000213683,43.9308,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"158","Q#150 - >gb|KAF7383363.1|[hypothetical protein HZH66_012713 [Vespula vulgaris]]","superfamily",223104,182,573,1.92785e-25,109.308,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"159","Q#150 - >gb|KAF7383363.1|[hypothetical protein HZH66_012713 [Vespula vulgaris]]","superfamily",225802,205,519,8.97878e-05,45.4716,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"160","Q#151 - >gb|KAF7401870.1|[hypothetical protein H0235_015206 [Vespula pensylvanica]]","superfamily",223104,179,314,4.80589e-12,66.5507,"cl42993","NhaP superfamily","C"," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"161","Q#151 - >gb|KAF7401870.1|[hypothetical protein H0235_015206 [Vespula pensylvanica]]","superfamily",225802,202,316,0.000195857,43.1604,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"162","Q#156 - >gb|TGZ49087.1|[Mitochondrial sodium/hydrogen exchanger NHA2 [Temnothorax longispinosus]]","superfamily",223104,177,568,4.36388e-25,108.152,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"163","Q#156 - >gb|TGZ49087.1|[Mitochondrial sodium/hydrogen exchanger NHA2 [Temnothorax longispinosus]]","superfamily",225802,177,517,0.000945068,42.0048,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"164","Q#157 - >gb|TGZ32222.1|[Uncharacterized protein DBV15_05547 [Temnothorax longispinosus]]","superfamily",223104,111,452,1.62483e-06,50.3723,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"165","Q#158 - >gb|KAJ0181768.1|[hypothetical protein K1T71_002490 [Dendrolimus kikuchii]]","superfamily",223104,306,708,1.99768e-29,122.019,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"166","Q#158 - >gb|KAJ0181768.1|[hypothetical protein K1T71_002490 [Dendrolimus kikuchii]]","superfamily",225802,330,559,1.64987e-10,64.3463,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"167","Q#159 - >gb|KAJ0175711.1|[hypothetical protein K1T71_008870 [Dendrolimus kikuchii]]","superfamily",223104,102,510,2.91759e-24,105.071,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"168","Q#159 - >gb|KAJ0175711.1|[hypothetical protein K1T71_008870 [Dendrolimus kikuchii]]","superfamily",225802,131,442,4.04423e-08,55.8719,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"169","Q#160 - >gb|KAJ0181766.1|[hypothetical protein K1T71_002488 [Dendrolimus kikuchii]]","superfamily",223104,83,409,1.26301e-11,66.5507,"cl42993","NhaP superfamily","C"," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"170","Q#160 - >gb|KAJ0181766.1|[hypothetical protein K1T71_002488 [Dendrolimus kikuchii]]","superfamily",225802,124,325,0.000121966,44.7012,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"171","Q#162 - >emb|CAB4064343.1|[Sodium/hydrogen exchanger 9B2 [Lepeophtheirus salmonis]]","superfamily",223104,53,277,1.68556e-13,71.1731,"cl42993","NhaP superfamily","C"," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"172","Q#163 - >gb|KAG5311786.1|[SL9B2 protein, partial [Acromyrmex insinuator]]","superfamily",223104,180,575,2.82291e-30,123.56,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"173","Q#163 - >gb|KAG5311786.1|[SL9B2 protein, partial [Acromyrmex insinuator]]","superfamily",225802,180,428,0.000363491,43.5456,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"174","Q#164 - >gb|KAG5326993.1|[SL9B2 protein, partial [Acromyrmex heyeri]]","superfamily",223104,180,578,7.10003e-29,119.323,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"175","Q#164 - >gb|KAG5326993.1|[SL9B2 protein, partial [Acromyrmex heyeri]]","superfamily",225802,180,385,0.000201984,44.316,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"176","Q#165 - >gb|KAG5306579.1|[SL9B1 protein, partial [Acromyrmex insinuator]]","superfamily",223104,82,477,7.34426e-05,44.9795,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"177","Q#166 - >gb|KAG5344392.1|[SL9B1 protein, partial [Acromyrmex charruanus]]","superfamily",223104,55,488,9.75976e-06,48.0611,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"178","Q#166 - >gb|KAG5344392.1|[SL9B1 protein, partial [Acromyrmex charruanus]]","superfamily",225802,113,415,0.000202742,43.9308,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"179","Q#167 - >gb|KAG5319794.1|[SL9B1 protein, partial [Acromyrmex heyeri]]","superfamily",223104,80,495,0.000381608,43.0535,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"180","Q#169 - >emb|CAB3515165.1|[unnamed protein product [Spodoptera littoralis]]","superfamily",223104,331,735,2.38595e-31,127.797,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"181","Q#169 - >emb|CAB3515165.1|[unnamed protein product [Spodoptera littoralis]]","superfamily",225802,331,672,9.82218e-12,68.1983,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"182","Q#170 - >emb|CAH0700695.1|[unnamed protein product [Spodoptera exigua]]","superfamily",223104,297,701,3.00007e-30,124.331,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"183","Q#170 - >emb|CAH0700695.1|[unnamed protein product [Spodoptera exigua]]","superfamily",225802,297,638,4.85004e-12,69.3539,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"184","Q#171 - >gb|KAF9810122.1|[hypothetical protein SFRURICE_011290 [Spodoptera frugiperda]]","superfamily",223104,100,441,4.94656e-23,101.604,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"185","Q#171 - >gb|KAF9810122.1|[hypothetical protein SFRURICE_011290 [Spodoptera frugiperda]]","superfamily",225802,102,439,1.97773e-06,50.4792,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"186","Q#172 - >emb|CAB3516635.1|[unnamed protein product [Spodoptera littoralis]]","superfamily",223104,121,462,1.20079e-22,100.448,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"187","Q#172 - >emb|CAB3516635.1|[unnamed protein product [Spodoptera littoralis]]","superfamily",225802,123,460,9.80753e-07,51.6348,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"188","Q#173 - >emb|CAB3515166.1|[unnamed protein product [Spodoptera littoralis]]","superfamily",223104,90,434,0.000268309,43.4387,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"189","Q#174 - >emb|CAB3515167.1|[unnamed protein product [Spodoptera littoralis]]","superfamily",223104,81,409,8.92914e-10,60.7727,"cl42993","NhaP superfamily","C"," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"190","Q#174 - >emb|CAB3515167.1|[unnamed protein product [Spodoptera littoralis]]","superfamily",225802,148,325,3.98602e-05,46.242,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"191","Q#177 - >emb|CAH0700698.1|[unnamed protein product [Spodoptera exigua]]","superfamily",223104,82,410,2.60502e-08,56.1503,"cl42993","NhaP superfamily","C"," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"192","Q#177 - >emb|CAH0700698.1|[unnamed protein product [Spodoptera exigua]]","superfamily",225802,149,216,0.000445516,42.7752,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"193","Q#179 - >gb|KAF9812091.1|[hypothetical protein SFRURICE_021448 [Spodoptera frugiperda]]","superfamily",223104,137,278,1.14866e-06,50.7575,"cl42993","NhaP superfamily","C"," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"194","Q#179 - >gb|KAF9812091.1|[hypothetical protein SFRURICE_021448 [Spodoptera frugiperda]]","superfamily",225802,204,271,0.000388703,43.1604,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"195","Q#180 - >gb|KAF9812091.1|[hypothetical protein SFRURICE_021448 [Spodoptera frugiperda]]","superfamily",223104,137,278,1.14866e-06,50.7575,"cl42993","NhaP superfamily","C"," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"196","Q#180 - >gb|KAF9812091.1|[hypothetical protein SFRURICE_021448 [Spodoptera frugiperda]]","superfamily",225802,204,271,0.000388703,43.1604,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"197","Q#182 - >gb|KAG1694103.1|[Sodium/hydrogen exchanger 9B2 [Nymphon striatum]]","superfamily",223104,572,1006,2.53636e-28,118.938,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"198","Q#182 - >gb|KAG1694103.1|[Sodium/hydrogen exchanger 9B2 [Nymphon striatum]]","superfamily",225802,631,954,2.40072e-08,57.7979,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"199","Q#183 - >gb|KAG1694104.1|[Sodium/hydrogen exchanger 9B2 [Nymphon striatum]]","superfamily",223104,572,996,5.67169e-30,123.945,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"200","Q#183 - >gb|KAG1694104.1|[Sodium/hydrogen exchanger 9B2 [Nymphon striatum]]","superfamily",225802,631,944,2.81319e-09,60.8795,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"201","Q#184 - >gb|KAG1694105.1|[Sodium/hydrogen exchanger 9B2 [Nymphon striatum]]","superfamily",223104,572,989,2.25186e-32,131.264,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"202","Q#184 - >gb|KAG1694105.1|[Sodium/hydrogen exchanger 9B2 [Nymphon striatum]]","superfamily",225802,576,937,8.76431e-11,65.5019,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"203","Q#185 - >gb|KAG1694102.1|[putative proline--tRNA ligase, mitochondrial [Nymphon striatum]]","superfamily",223104,572,1007,1.52009e-22,101.604,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"204","Q#185 - >gb|KAG1694102.1|[putative proline--tRNA ligase, mitochondrial [Nymphon striatum]]","superfamily",225802,631,955,2.16413e-07,54.7163,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"205","Q#186 - >gb|KAG1663789.1|[Sodium/hydrogen exchanger 9B2 [Nymphon striatum]]","superfamily",223104,121,555,2.23347e-22,99.6779,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"206","Q#186 - >gb|KAG1663789.1|[Sodium/hydrogen exchanger 9B2 [Nymphon striatum]]","superfamily",225802,180,503,3.81511e-07,52.7903,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"207","Q#187 - >gb|KAG1663788.1|[Sodium/hydrogen exchanger 9B2 [Nymphon striatum]]","superfamily",223104,121,593,1.43552e-17,85.4255,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"208","Q#187 - >gb|KAG1663788.1|[Sodium/hydrogen exchanger 9B2 [Nymphon striatum]]","superfamily",225802,180,504,2.29801e-06,50.4792,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"209","Q#188 - >gb|KAG1663790.1|[Sodium/hydrogen exchanger 9B2 [Nymphon striatum]]","superfamily",223104,121,538,1.63755e-25,108.923,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"210","Q#188 - >gb|KAG1663790.1|[Sodium/hydrogen exchanger 9B2 [Nymphon striatum]]","superfamily",225802,125,486,1.72699e-09,60.1091,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"211","Q#189 - >gb|KAG1663791.1|[Sodium/hydrogen exchanger 9B2 [Nymphon striatum]]","superfamily",223104,121,556,3.48591e-17,83.8847,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"212","Q#189 - >gb|KAG1663791.1|[Sodium/hydrogen exchanger 9B2 [Nymphon striatum]]","superfamily",225802,180,504,4.62445e-06,49.3236,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"213","Q#209 - >gb|KAG1651399.1|[Sodium/hydrogen exchanger 8 [Nymphon striatum]]","superfamily",223104,24,489,9.65629e-54,194.052,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
"214","Q#209 - >gb|KAG1651399.1|[Sodium/hydrogen exchanger 8 [Nymphon striatum]]","superfamily",225802,25,317,2.2043e-25,112.111,"cl34572","NhaP2 superfamily","C"," - ","NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains [Energy production and conversion, Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain [Inorganic ion transport and metabolism]."
"215","Q#210 - >gb|KAG1651400.1|[Sodium/hydrogen exchanger 8 [Nymphon striatum]]","superfamily",223104,24,489,1.92544e-53,193.281,"cl42993","NhaP superfamily"," - "," - ","NhaP-type Na+/H+ or K+/H+ antiporter [Inorganic ion transport and metabolism]; NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]."
